,latitu,longti,1,2,3,4,5,6,7,8,9,10,11,12,site,city
0,116.3747278,39.88565298,94.24570447,65.70473083,64.89842632,56.04643963,62.41337386,45.88941548,54.86925287,40.17352941,61.40458015,56.05621302,48.72173913,42.49059334,万寿西宫,北京
1,120.326478,30.31431014,70.36516854,75.19571865,57.16689847,52.68829337,44.68135095,34.04577969,32.4471086,26.81303116,34.92284418,37.40782123,57.55460993,82.3924581,下沙,杭州
2,116.4350122,39.93865024,89.71134021,64.40562914,64.73906911,62.95348837,68.15797546,43.36450079,53.47625899,41.44343891,63.04383117,54.04817276,47.34985423,41.44028777,东四,北京
3,114.3813259,30.58021825,78.48290598,66.31024096,53.82386364,40.22489392,44.95093795,30.92040521,22.73273273,23.98527246,30.16485226,32.27205882,70.26193922,81.89317507,东湖梨园,武汉
4,114.3920876,30.52047321,93.62,78.40150376,62.86724387,40.28954802,47.67663818,28.74964029,22.36931818,22.68011527,31,36.27546628,80.15714286,91.43522562,东湖高新,武汉
5,120.313334,30.42717113,65.29817159,63.67737003,47.5943662,46.70862801,37.38222849,28.02608696,25.32316227,21.19432624,27.64831804,28.35704125,44.44886364,70.45441595,临平镇,杭州
6,113.5797751,23.28518032,51.58686131,30.75776398,29.60724234,35.97994269,34.00730994,19.22366522,20.5130674,26.21652422,35.32618683,32.69252468,38.63884892,48.48997135,九龙镇镇龙,广州
7,120.1009566,30.198901,44.9506347,54.03816794,47.70375522,36.57122708,31.86600846,21.84045584,18.53361345,16.9352518,24.06240487,25.62234795,39.73758865,56.64102564,云栖,杭州
8,120.6729969,36.24234188,49.66666667,48.92769231,40.76197183,35.0046875,28.29326923,17.2247557,20.97313433,12.79452055,16.42706767,18.62411348,23.78549383,33.30896552,仰口,青岛
9,111.3673618,30.65073765,135.5381356,90.69715142,69.48767123,46.14183381,36.21212121,41,25.68984701,27.08498584,33.56748466,37.37980085,71.77213353,110.2266881,伍家岗,宜昌
10,,,57.55319149,48.8412943,42.24930748,35.82639885,34.38714286,18.45118343,20.19807428,21.19885551,34.06750392,30.57827927,36.51734104,52.04992867,体育西,
11,116.470307,39.94700908,84.65576592,63.78303426,62.51873199,59.77847114,59.94427711,44.4888535,53.16594517,39.47723935,56.16614907,53.72230428,44.59736457,41.97360248,农展馆,北京
12,121.3616403,31.22335543,46.92017417,50.78440367,47.22865014,49.56899004,35.61373391,41.55555556,36.29661017,33.68047337,27.24247227,23.55156951,41.80893683,51.97276853,十五厂,上海
13,119.021427,29.60186501,46.13521127,47.07033639,30.43076923,33.15720524,30.04023845,18.51270553,19.82294618,17.40830946,20.26929674,27.06825397,33.41354467,46.16363636,千岛湖,杭州
14,113.990656,22.54055802,37.62393162,32.06212121,30.29098361,27.85091421,27.85550787,10.88253012,13.42014388,16.66424419,25.02857143,31.27437326,38.60413589,47.3216885,华侨城,深圳
15,113.9352579,22.51360499,36.88433382,30.05143722,28.79034483,25.98870056,28.78705036,11.71259259,13.1942446,16.6115942,24.53555219,27.13532764,35.75480059,43.57202797,南油,深圳
16,114.4990371,22.53745779,32.71060172,27.52207002,28.40027322,23.71086037,22.24113475,11.69278034,11.57246377,13.78248175,20.39071856,23.59052925,25.43722304,32.88359046,南澳,深圳
17,120.1384697,30.24927094,65.93380282,63.84862385,47.16828929,43.22849083,38.68587896,28.89882698,26.29680999,22.2964539,30.27575758,31.11854951,40.32193732,59.17391304,卧龙桥,杭州
18,116.1956398,39.91345006,87.87716263,61.12071778,65.30780142,62.27286822,69.2969697,45.29588608,55.22727273,41.18032787,56.73484848,55.08849558,46.40172166,37.97835498,古城,北京
19,114.1416751,30.63934431,91.78796562,71.83885542,60.91784703,44.71671388,48.38825215,31.93118594,21.81,22.94444444,31.99368088,35.95414201,84.51598837,95.69822485,吴家山,武汉
20,120.1311729,30.31607706,68.22804533,70.25648855,57.93184979,49.95689655,44.38841808,32.37797619,30.29567643,24.10906516,34.42360061,36.17226891,52.23796034,76.55944056,和睦小学,杭州
21,120.3730138,36.10994489,64.28672986,60.67281106,48.60233918,45.93563579,47.4991274,27.53736089,31.00600601,19.21343284,24.66973886,33.21585903,43.87541528,64.85281981,四方区子站,青岛
22,111.313579,30.71899585,127.5785007,82.63473054,65.95485636,44.252149,35.07887324,37.91053391,23.18382353,27.22126437,31.25766871,36.06497175,70.06303725,110.3865906,四零三,宜昌
23,120.3051746,30.26151359,58.64356436,68.39847328,61.26425591,45.7752809,42.00285714,29.76300578,25.13592233,22.92351275,32.84006211,31.73044693,49.1713881,81.66571429,城厢镇,杭州
24,120.454,36.26075,68.0815534,51.35889571,44.39944134,43.41754917,39.43457944,23.80221519,27.59970238,19.01457726,22.72797527,26.42142857,36.84467456,55.52631579,城阳区子站,青岛
25,116.417313,39.88797708,85.25817556,61.7124183,60.89830508,56.1682243,62.09748428,41.64037855,50.88609467,37.55294118,53.67391304,51.820059,45.91690962,41.71810089,天坛,北京
26,111.3329567,30.77609041,138.7163121,82.16766467,61.52537723,38.36714286,32.4241573,32.98982558,20.68200837,23.47550432,29.91257669,33.50143678,67.36363636,107.3007092,夷陵区,宜昌
27,116.403458,39.98966406,79.72443674,59.95921697,61.16500711,57.56877898,59.44977511,38.18553459,50.77034884,38.59050445,57.43913713,52.67058824,43.60755814,37.77344877,奥体中心,北京
28,116.3693659,39.93736379,84.03812825,60.28947368,60.73772791,54.15686275,61.42620482,41.6471519,53.84892086,40.77386197,58.74263566,55.67651403,47.85258359,38.71492537,官园,北京
